did,oid,ent,sectionId,laneIndex,xCoord,yCoord,time,speed,travelledDistance,acceleration
462536,1844,190,1456,1,447617.52,210711.96,325.6,62.14,2613.61,0.0
462536,1844,191,1456,1,447631.32,210712.59,326.4,62.14,2627.42,0.0
462536,1844,192,1456,1,447645.11,210713.23,327.2,62.14,2641.23,0.0
462536,1844,193,1456,1,447658.91,210713.86,328.0,62.14,2655.04,0.0
462536,1844,194,1456,1,447672.7,210714.49,328.8,62.14,2668.85,0.0
462536,1844,195,1456,1,447686.5,210715.13,329.6,62.14,2682.66,0.0
462536,1844,196,1456,1,447700.29,210715.76,330.4,62.14,2696.47,0.0
462536,1844,197,1456,1,447714.08,210716.4,331.2,62.14,2710.27,0.0
462536,1844,198,1456,1,447727.88,210717.03,332.0,62.14,2724.08,0.0
462536,1844,199,1456,1,447741.67,210717.66,332.8,62.14,2737.89,0.0
462536,1844,200,1456,1,447755.47,210718.3,333.6,62.14,2751.7,0.0
462536,1844,201,1456,1,447769.26,210718.93,334.4,62.14,2765.51,0.0
462536,1844,202,1456,1,447783.06,210719.56,335.2,62.14,2779.32,0.0
462536,1844,203,1456,1,447796.85,210720.2,336.0,62.14,2793.13,0.0
462536,1844,204,1456,1,447810.64,210720.83,336.8,62.14,2806.94,0.0
462536,1844,205,1456,1,447824.44,210721.46,337.6,62.14,2820.75,0.0
462536,1844,206,1456,1,447838.23,210722.1,338.4,62.14,2834.55,0.0
462536,1844,207,1456,1,447852.03,210722.73,339.2,62.14,2848.36,0.0
462536,1844,208,1456,1,447865.83,210722.83,340.0,62.14,2862.17,0.0
462536,1844,209,1456,1,447879.63,210722.47,340.8,62.14,2875.98,0.0
462536,1844,210,1456,1,447893.44,210722.12,341.6,62.14,2889.79,0.0
462536,1844,211,1456,1,447907.24,210721.76,342.4,62.14,2903.6,0.0
462536,1844,212,1456,1,447921.04,210721.41,343.2,62.14,2917.41,0.0
462536,1844,213,1456,1,447934.85,210721.06,344.0,62.14,2931.22,0.0
462536,1844,214,1456,1,447948.65,210720.7,344.8,62.14,2945.02,0.0
462536,1844,215,1456,1,447962.46,210720.35,345.6,62.14,2958.83,0.0
462536,1844,216,1456,1,447976.26,210719.99,346.4,62.14,2972.64,0.0
462536,1844,217,1456,1,447990.07,210719.64,347.2,62.14,2986.45,0.0
462536,1844,218,1456,1,448003.75,210718.05,348.0,62.14,3000.26,0.0
462536,1844,219,1456,1,448017.35,210715.69,348.8,62.14,3014.07,0.0
462536,1844,220,1456,1,448030.96,210713.33,349.6,62.14,3027.88,0.0
462536,1844,221,1456,1,448044.57,210710.97,350.4,62.14,3041.69,0.0
462536,1844,222,1456,1,448058.17,210708.62,351.2,62.14,3055.5,0.0
462536,1844,223,1456,1,448071.78,210706.26,352.0,62.14,3069.3,0.0
462536,1844,224,1456,1,448085.38,210703.9,352.8,62.14,3083.11,0.0
462536,1844,225,1456,1,448098.99,210701.54,353.6,62.14,3096.92,0.0
462536,1844,226,1456,1,448112.6,210699.18,354.4,62.14,3110.73,0.0
462536,1844,227,1456,1,448126.2,210696.82,355.2,62.14,3124.54,0.0
462536,1844,228,1456,1,448139.81,210694.47,356.0,62.14,3138.35,0.0
462536,1844,229,1456,1,448153.41,210692.11,356.8,62.14,3152.16,0.0
462536,1844,230,1456,1,448166.94,210689.36,357.6,62.14,3165.97,0.0
462536,1844,231,1456,1,448180.33,210685.99,358.4,62.14,3179.77,0.0
462536,1844,232,1456,1,448193.72,210682.61,359.2,62.14,3193.58,0.0
462536,1844,233,1456,1,448207.11,210679.24,360.0,62.14,3207.39,0.0
462536,1844,234,1456,1,448220.5,210675.86,360.8,62.14,3221.2,0.0
462536,1844,235,1456,1,448233.89,210672.49,361.6,62.14,3235.01,0.0
462536,1844,236,1456,1,448247.28,210669.11,362.4,62.14,3248.82,0.0
462536,1844,237,1456,1,448260.67,210665.74,363.2,62.14,3262.63,0.0
462536,1844,238,1456,1,448274.06,210662.36,364.0,62.14,3276.44,0.0
462536,1844,239,1456,1,448287.45,210658.99,364.8,62.14,3290.24,0.0
462536,1844,240,1456,1,448300.84,210655.61,365.6,62.14,3304.05,0.0
462536,1844,241,1456,1,448314.23,210652.24,366.4,62.14,3317.86,0.0
462536,1844,242,1456,1,448327.62,210648.86,367.2,62.14,3331.67,0.0
462536,1844,243,1456,1,448341.01,210645.49,368.0,62.14,3345.48,0.0
462536,1844,244,1456,1,448354.4,210642.11,368.8,62.14,3359.29,0.0
462536,1844,245,1456,1,448367.79,210638.74,369.6,62.14,3373.1,0.0
462536,1844,246,1456,1,448381.18,210635.36,370.4,62.14,3386.91,0.0
462536,1844,247,1456,1,448394.57,210631.99,371.2,62.14,3400.72,0.0
462536,1844,248,1456,1,448407.96,210628.61,372.0,62.14,3414.52,0.0
462536,1844,249,1456,1,448421.35,210625.24,372.8,62.14,3428.33,0.0
462536,1844,250,1456,1,448434.74,210621.86,373.6,62.14,3442.14,0.0
462536,1844,251,1456,1,448448.13,210618.49,374.4,62.14,3455.95,0.0
462536,1844,252,1456,1,448461.52,210615.11,375.2,62.14,3469.76,0.0
462536,1844,253,1456,1,448474.91,210611.74,376.0,62.14,3483.57,0.0
462536,1844,254,1456,1,448488.3,210608.36,376.8,62.14,3497.38,0.0
462536,1844,255,1456,1,448501.69,210604.99,377.6,62.14,3511.19,0.0
462536,1844,256,1456,1,448515.08,210601.61,378.4,62.14,3524.99,0.0
462536,1844,257,1456,1,448528.47,210598.24,379.2,62.14,3538.8,0.0
