Parameter,Value_Gasoline_Small_Car,Value_Gasoline_Mid_Car,Value_Gasoline_Large_Car,Value_Diesel_Small_Car,Value_Diesel_Mid_Car,Value_Diesel_Large_Car,Value_HEV_Small_Car,Value_HEV_Mid_Car,Value_HEV_Large_Car,Value_BEV_Small_Car,Value_BEV_Mid_Car,Value_BEV_Large_Car,Value_PHEV_Small_Car,Value_PHEV_Mid_Car,Value_PHEV_Large_Car,Value_LPG_Small_Car,Value_LPG_Mid_Car,Value_LPG_Large_Car,Value_CNG_Small_Car,Value_CNG_Mid_Car,Value_CNG_Large_Car,Value_Diesel_Bus,Value_Gasoline_Bus,Value_CNG_Bus,Value_Electric_Bus,Value_Gasoline_PTW,Value_Diesel_PTW,Value_CNG_PTW,Value_Electric_PTW
EF_CO_Euro7,0.69,0.62,0.53,0.04,0.049,0.049,0.042,0.043,0.043,0,0,0,0.042,0.043,0.043,0.62,0.62,0.62,0.616,0.616,0.616,0.223,0.223,1,0,3.03,3.03,3.03,0
EF_NMVOC_Euro0,0.96,0.29,1.679,0.159,0.159,0.159,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,1.05,1.05,1.05,0.035,0.035,0.035,1.99,1.99,0.371,0,1.68,1.68,1.68,0
EF_NMVOC_Euro1,0.467,0.53,0.43,0.047,0.047,0.07,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.723,0.723,0.723,0.035,0.035,0.035,0.706,0.706,0.371,0,1.19,1.19,1.19,0
EF_NMVOC_Euro2,0.206,0.251,0.196,0.035,0.035,0.1,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.342,0.342,0.342,0.035,0.035,0.035,0.463,0.463,0.313,0,0.918,0.918,0.918,0
EF_NMVOC_Euro3,0.089,0.119,0.088,0.02,0.02,0.037,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.12,0.12,0.12,0.035,0.035,0.035,0.409,0.409,0.052,0,0.541,0.541,0.541,0
EF_NMVOC_Euro4,0.048,0.065,0.048,0.014,0.014,0.014,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.1,0.1,0.1,0.035,0.035,0.035,0.022,0.022,0.052,0,0.541,0.541,0.541,0
EF_NMVOC_Euro5,0.048,0.065,0.048,0.01,0.008,0.008,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.1,0.1,0.1,0.035,0.035,0.035,0.022,0.022,0.045,0,0.541,0.541,0.541,0
EF_NMVOC_Euro6,0.048,0.065,0.048,0.01,0.008,0.008,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.1,0.1,0.1,0.035,0.035,0.035,0.022,0.022,0.045,0,0.541,0.541,0.541,0
EF_NMVOC_Euro7,0.048,0.065,0.048,0.01,0.008,0.008,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.1,0.1,0.1,0.035,0.035,0.035,0.022,0.022,0.045,0,0.541,0.541,0.541,0
EF_NOx_Euro0,1.53,1.29,2.9,0.546,0.546,0.87,0.013,0.013,0.013,0,0,0,0.013,0.013,0.013,2.36,2.36,2.36,0.056,0.056,0.056,16.5,16.5,16.6,0,0.233,0.233,0.233,0
EF_NOx_Euro1,0.426,0.485,0.467,0.69,0.69,0.69,0.013,0.013,0.013,0,0,0,0.013,0.013,0.013,0.414,0.414,0.414,0.056,0.056,0.056,10.1,10.1,16.5,0,0.477,0.477,0.477,0
EF_NOx_Euro2,0.229,0.255,0.242,0.716,0.716,0.716,0.013,0.013,0.013,0,0,0,0.013,0.013,0.013,0.18,0.18,0.18,0.056,0.056,0.056,10.7,10.7,15.5,0,0.317,0.317,0.317,0
EF_NOx_Euro3,0.09,0.097,0.091,0.773,0.773,0.77,0.013,0.013,0.013,0,0,0,0.013,0.013,0.013,0.09,0.09,0.09,0.056,0.056,0.056,9.38,9.38,10,0,0.194,0.194,0.194,0
EF_NOx_Euro4,0.056,0.061,0.059,0.58,0.58,0.58,0.013,0.013,0.013,0,0,0,0.013,0.013,0.013,0.056,0.056,0.056,0.056,0.056,0.056,5.42,5.42,10,0,0.194,0.194,0.194,0
EF_NOx_Euro5,0.056,0.061,0.059,0.55,0.55,0.55,0.013,0.013,0.013,0,0,0,0.013,0.013,0.013,0.056,0.056,0.056,0.056,0.056,0.056,3.09,3.09,2.5,0,0.194,0.194,0.194,0
EF_NOx_Euro6,0.056,0.061,0.059,0.35,0.35,0.35,0.013,0.013,0.013,0,0,0,0.013,0.013,0.013,0.056,0.056,0.056,0.056,0.056,0.056,0.597,0.597,2.5,0,0.194,0.194,0.194,0
EF_NOx_Euro7,0.056,0.061,0.059,0.17,0.17,0.17,0.013,0.013,0.013,0,0,0,0.013,0.013,0.013,0.056,0.056,0.056,0.056,0.056,0.056,0.597,0.597,2.5,0,0.194,0.194,0.194,0
EF_N2O_Euro0,0.01,0.01,0.01,0,0,0,0.0002,0.0002,0.0002,0,0,0,0.0002,0.0002,0.0002,0,0,0,0.001,0.001,0.001,0.029,0.029,0,0,0.002,0.002,0.002,0
EF_N2O_Euro1,0.01,0.01,0.011,0.003,0.003,0.003,0.0002,0.0002,0.0002,0,0,0,0.0002,0.0002,0.0002,0.02,0.02,0.02,0.001,0.001,0.001,0.012,0.012,0,0,0.002,0.002,0.002,0
EF_N2O_Euro2,0.006,0.006,0.006,0.005,0.005,0.005,0.0002,0.0002,0.0002,0,0,0,0.0002,0.0002,0.0002,0.008,0.008,0.008,0.001,0.001,0.001,0.12,0.12,0,0,0.002,0.002,0.002,0
EF_N2O_Euro3,0.002,0.002,0.002,0.007,0.007,0.01,0.0002,0.0002,0.0002,0,0,0,0.0002,0.0002,0.0002,0.004,0.004,0.004,0.001,0.001,0.001,0.001,0.001,0,0,0.002,0.002,0.002,0
EF_N2O_Euro4,0.002,0.002,0.002,0.01,0.01,0.01,0.0002,0.0002,0.0002,0,0,0,0.0002,0.0002,0.0002,0.004,0.004,0.004,0.001,0.001,0.001,0.012,0.012,0,0,0.002,0.002,0.002,0
EF_N2O_Euro5,0.0013,0.0013,0.0013,0.004,0.004,0.004,0.0002,0.0002,0.0002,0,0,0,0.0002,0.0002,0.0002,0.004,0.004,0.004,0.001,0.001,0.001,0.032,0.032,0,0,0.002,0.002,0.002,0
EF_N2O_Euro6,0.0013,0.0013,0.0013,0.004,0.004,0.004,0.0002,0.0002,0.0002,0,0,0,0.0002,0.0002,0.0002,0.004,0.004,0.004,0.001,0.001,0.001,0.04,0.04,0,0,0.002,0.002,0.002,0
EF_N2O_Euro7,0.0013,0.0013,0.0013,0.004,0.004,0.004,0.0002,0.0002,0.0002,0,0,0,0.0002,0.0002,0.0002,0.004,0.004,0.004,0.001,0.001,0.001,0.04,0.04,0,0,0.002,0.002,0.002,0
EF_NH3_Euro0,0.002,0.002,0.002,0.001,0.001,0.001,0.0328,0.0326,0.0327,0,0,0,0.0328,0.0327,0.0327,0.02,0.02,0.02,0.0338,0.0338,0.0338,0.0029,0.0029,0,0,0.0019,0.0019,0.0019,0
EF_NH3_Euro1,0.0922,0.0922,0.0922,0.001,0.001,0.001,0.0328,0.0326,0.0327,0,0,0,0.0328,0.0327,0.0327,0.088,0.088,0.088,0.0338,0.0338,0.0338,0.0029,0.0029,0,0,0.0019,0.0019,0.0019,0
EF_NH3_Euro2,0.1043,0.1043,0.1043,0.001,0.001,0.001,0.0328,0.0326,0.0327,0,0,0,0.0328,0.0327,0.0327,0.1007,0.1007,0.1007,0.0338,0.0338,0.0338,0.0029,0.0029,0,0,0.0019,0.0019,0.0019,0
EF_NH3_Euro3,0.0342,0.0342,0.0342,0.001,0.001,0.001,0.0328,0.0326,0.0327,0,0,0,0.0328,0.0327,0.0327,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.0029,0.0029,0,0,0.0019,0.0019,0.0019,0
EF_NH3_Euro4,0.0341,0.0342,0.0343,0.001,0.001,0.001,0.0328,0.0326,0.0327,0,0,0,0.0328,0.0327,0.0327,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.0029,0.0029,0,0,0.0019,0.0019,0.0019,0
EF_NH3_Euro5,0.0123,0.0123,0.0123,0.0019,0.0019,0.0019,0.0328,0.0326,0.0327,0,0,0,0.0328,0.0327,0.0327,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.0011,0.0011,0,0,0.0019,0.0019,0.0019,0
EF_NH3_Euro6,0.0123,0.0123,0.0123,0.0019,0.0019,0.0019,0.0328,0.0326,0.0327,0,0,0,0.0328,0.0327,0.0327,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.009,0.009,0,0,0.0019,0.0019,0.0019,0
