Year;MacroZone;Age;Gender;PopRate
2022;3;00-04;Female;-0.058
2023;3;00-04;Female;-0.049
2024;3;00-04;Female;-0.034
2025;3;00-04;Female;0.005
2026;3;00-04;Female;0.000
2027;3;00-04;Female;0.015
2028;3;00-04;Female;0.013
2029;3;00-04;Female;0.013
2030;3;00-04;Female;0.013
2020;3;15-19;Female;0.005
2021;3;15-19;Female;0.007
2022;3;15-19;Female;0.013
2023;3;15-19;Female;-0.013
2024;3;15-19;Female;-0.011
2025;3;15-19;Female;0.003
2026;3;15-19;Female;-0.031
2027;3;15-19;Female;-0.015
2028;3;15-19;Female;0.005
2029;3;15-19;Female;-0.008
2030;3;15-19;Female;-0.029
2020;3;20-24;Female;-0.008
2021;3;20-24;Female;0.007
2022;3;20-24;Female;-0.014
2023;3;20-24;Female;0.015
2024;3;20-24;Female;0.015
2025;3;20-24;Female;0.016
2026;3;20-24;Female;0.013
2027;3;20-24;Female;0.010
2028;3;20-24;Female;-0.012
2029;3;20-24;Female;-0.009
2030;3;20-24;Female;0.003
2020;3;25-29;Female;0.010
2021;3;25-29;Female;-0.015
2022;3;25-29;Female;0.034
2023;3;25-29;Female;-0.009
2024;3;25-29;Female;0.013
2025;3;25-29;Female;-0.002
2026;3;25-29;Female;0.024
2027;3;25-29;Female;-0.007
2028;3;25-29;Female;0.010
2029;3;25-29;Female;0.012
2030;3;25-29;Female;0.011
2020;3;30-34;Female;-0.028
2021;3;30-34;Female;-0.059
2022;3;30-34;Female;-0.033
2023;3;30-34;Female;0.003
2024;3;30-34;Female;-0.011
2025;3;30-34;Female;0.014
2026;3;30-34;Female;-0.002
2027;3;30-34;Female;0.018
2028;3;30-34;Female;-0.006
2029;3;30-34;Female;0.009
2030;3;30-34;Female;0.002
2020;3;35-39;Female;-0.043
2021;3;35-39;Female;-0.016
2022;3;35-39;Female;-0.029
2023;3;35-39;Female;-0.022
2024;3;35-39;Female;-0.031
2025;3;35-39;Female;-0.018
2026;3;35-39;Female;-0.031
2027;3;35-39;Female;-0.025
2028;3;35-39;Female;0.000
2029;3;35-39;Female;-0.010
2030;3;35-39;Female;0.008
2020;3;40-44;Female;-0.046
2021;3;40-44;Female;-0.069
2022;3;40-44;Female;-0.050
2023;3;40-44;Female;-0.035
2024;3;40-44;Female;-0.011
2025;3;40-44;Female;-0.044
2026;3;40-44;Female;-0.015
2027;3;40-44;Female;-0.029
2028;3;40-44;Female;-0.022
2029;3;40-44;Female;-0.026
2030;3;40-44;Female;-0.016
2020;3;45-49;Female;-0.025
2021;3;45-49;Female;-0.017
2022;3;45-49;Female;-0.029
2023;3;45-49;Female;-0.033
2024;3;45-49;Female;-0.039
2025;3;45-49;Female;-0.041
2026;3;45-49;Female;-0.058
2027;3;45-49;Female;-0.050
2028;3;45-49;Female;-0.035
2029;3;45-49;Female;-0.015
2030;3;45-49;Female;-0.041
2020;3;50-54;Female;-0.010
2021;3;50-54;Female;-0.020
2022;3;50-54;Female;0.021
2023;3;50-54;Female;-0.015
2024;3;50-54;Female;-0.038
2025;3;50-54;Female;-0.021
2026;3;50-54;Female;-0.003
2027;3;50-54;Female;-0.029
2028;3;50-54;Female;-0.033
2029;3;50-54;Female;-0.038
2030;3;50-54;Female;-0.042
2020;3;55-59;Female;0.040
2021;3;55-59;Female;0.015
2022;3;55-59;Female;0.035
2023;3;55-59;Female;0.032
2024;3;55-59;Female;0.030
2025;3;55-59;Female;-0.001
2026;3;55-59;Female;-0.010
2027;3;55-59;Female;0.018
2028;3;55-59;Female;-0.014
2029;3;55-59;Female;-0.036
2030;3;55-59;Female;-0.020
2020;3;60-64;Female;0.023
2021;3;60-64;Female;0.006
2022;3;60-64;Female;-0.009
2023;3;60-64;Female;0.033
2024;3;60-64;Female;0.017
2025;3;60-64;Female;0.038
2026;3;60-64;Female;0.025
2027;3;60-64;Female;0.033
2028;3;60-64;Female;0.030
2029;3;60-64;Female;0.028
2030;3;60-64;Female;-0.001
2020;3;65-69;Female;-0.022
2021;3;65-69;Female;-0.028
2022;3;65-69;Female;0.028
2023;3;65-69;Female;-0.017
2024;3;65-69;Female;0.008
2025;3;65-69;Female;0.023
2026;3;65-69;Female;0.020
2027;3;65-69;Female;-0.007
2028;3;65-69;Female;0.032
2029;3;65-69;Female;0.018
2030;3;65-69;Female;0.038
2020;3;70-74;Female;0.018
2021;3;70-74;Female;0.034
2022;3;70-74;Female;-0.040
2023;3;70-74;Female;-0.027
2024;3;70-74;Female;0.009
2025;3;70-74;Female;-0.020
2026;3;70-74;Female;-0.012
2027;3;70-74;Female;0.028
2028;3;70-74;Female;-0.016
2029;3;70-74;Female;0.009
2030;3;70-74;Female;0.023
2020;3;75-79;Female;-0.009
2021;3;75-79;Female;-0.031
2022;3;75-79;Female;0.022
2023;3;75-79;Female;0.042
2024;3;75-79;Female;-0.008
2025;3;75-79;Female;0.021
2026;3;75-79;Female;0.034
2027;3;75-79;Female;-0.038
2028;3;75-79;Female;-0.026
2029;3;75-79;Female;0.009
2030;3;75-79;Female;-0.019
2020;3;80-84;Female;0.040
2021;3;80-84;Female;0.006
2022;3;80-84;Female;0.008
2023;3;80-84;Female;-0.010
2024;3;80-84;Female;0.001
2025;3;80-84;Female;-0.015
2026;3;80-84;Female;-0.031
2027;3;80-84;Female;0.026
2028;3;80-84;Female;0.044
2029;3;80-84;Female;-0.004
2030;3;80-84;Female;0.023
2020;3;85-89;Female;0.058
2021;3;85-89;Female;0.016
2022;3;85-89;Female;0.057
2023;3;85-89;Female;0.049
2024;3;85-89;Female;0.044
2025;3;85-89;Female;0.032
2026;3;85-89;Female;0.030
2027;3;85-89;Female;0.008
2028;3;85-89;Female;-0.010
2029;3;85-89;Female;0.002
2030;3;85-89;Female;-0.014
2020;3;90-94;Female;0.077
2021;3;90-94;Female;0.062
2022;3;90-94;Female;0.052
2023;3;90-94;Female;0.032
2024;3;90-94;Female;0.081
2025;3;90-94;Female;0.067
2026;3;90-94;Female;0.046
2027;3;90-94;Female;0.053
2028;3;90-94;Female;0.046
2029;3;90-94;Female;0.046
2030;3;90-94;Female;0.038
2020;3;95+;Female;0.029
2021;3;95+;Female;0.043
2022;3;95+;Female;0.128
2023;3;95+;Female;0.170
2024;3;95+;Female;0.039
2025;3;95+;Female;0.103
2026;3;95+;Female;0.110
2027;3;95+;Female;0.061
2028;3;95+;Female;0.050
2029;3;95+;Female;0.062
2030;3;95+;Female;0.077
